Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Myanmar","Yield","Rice","1961","hg/ha","16066"
"Crops and livestock products","Myanmar","Yield","Rice","1962","hg/ha","16469"
"Crops and livestock products","Myanmar","Yield","Rice","1963","hg/ha","15957"
"Crops and livestock products","Myanmar","Yield","Rice","1964","hg/ha","17097"
"Crops and livestock products","Myanmar","Yield","Rice","1965","hg/ha","16614"
"Crops and livestock products","Myanmar","Yield","Rice","1966","hg/ha","14694"
"Crops and livestock products","Myanmar","Yield","Rice","1967","hg/ha","16510"
"Crops and livestock products","Myanmar","Yield","Rice","1968","hg/ha","16843"
"Crops and livestock products","Myanmar","Yield","Rice","1969","hg/ha","17092"
"Crops and livestock products","Myanmar","Yield","Rice","1970","hg/ha","16973"
"Crops and livestock products","Myanmar","Yield","Rice","1971","hg/ha","17161"
"Crops and livestock products","Myanmar","Yield","Rice","1972","hg/ha","16247"
"Crops and livestock products","Myanmar","Yield","Rice","1973","hg/ha","17629"
"Crops and livestock products","Myanmar","Yield","Rice","1974","hg/ha","17574"
"Crops and livestock products","Myanmar","Yield","Rice","1975","hg/ha","18307"
"Crops and livestock products","Myanmar","Yield","Rice","1976","hg/ha","18974"
"Crops and livestock products","Myanmar","Yield","Rice","1977","hg/ha","19453"
"Crops and livestock products","Myanmar","Yield","Rice","1978","hg/ha","21012"
"Crops and livestock products","Myanmar","Yield","Rice","1979","hg/ha","23521"
"Crops and livestock products","Myanmar","Yield","Rice","1980","hg/ha","27739"
"Crops and livestock products","Myanmar","Yield","Rice","1981","hg/ha","29419"
"Crops and livestock products","Myanmar","Yield","Rice","1982","hg/ha","31505"
"Crops and livestock products","Myanmar","Yield","Rice","1983","hg/ha","30666"
"Crops and livestock products","Myanmar","Yield","Rice","1984","hg/ha","30981"
"Crops and livestock products","Myanmar","Yield","Rice","1985","hg/ha","30718"
"Crops and livestock products","Myanmar","Yield","Rice","1986","hg/ha","30279"
"Crops and livestock products","Myanmar","Yield","Rice","1987","hg/ha","30424"
"Crops and livestock products","Myanmar","Yield","Rice","1988","hg/ha","29084"
"Crops and livestock products","Myanmar","Yield","Rice","1989","hg/ha","29174"
"Crops and livestock products","Myanmar","Yield","Rice","1990","hg/ha","29353"
"Crops and livestock products","Myanmar","Yield","Rice","1991","hg/ha","28400"
"Crops and livestock products","Myanmar","Yield","Rice","1992","hg/ha","28882"
"Crops and livestock products","Myanmar","Yield","Rice","1993","hg/ha","30063"
"Crops and livestock products","Myanmar","Yield","Rice","1994","hg/ha","31182"
"Crops and livestock products","Myanmar","Yield","Rice","1995","hg/ha","29290"
"Crops and livestock products","Myanmar","Yield","Rice","1996","hg/ha","30159"
"Crops and livestock products","Myanmar","Yield","Rice","1997","hg/ha","30308"
"Crops and livestock products","Myanmar","Yield","Rice","1998","hg/ha","30793"
"Crops and livestock products","Myanmar","Yield","Rice","1999","hg/ha","32405"
"Crops and livestock products","Myanmar","Yield","Rice","2000","hg/ha","33301"
"Crops and livestock products","Myanmar","Yield","Rice","2001","hg/ha","33639"
"Crops and livestock products","Myanmar","Yield","Rice","2002","hg/ha","33655"
"Crops and livestock products","Myanmar","Yield","Rice","2003","hg/ha","34883"
"Crops and livestock products","Myanmar","Yield","Rice","2004","hg/ha","35785"
"Crops and livestock products","Myanmar","Yield","Rice","2005","hg/ha","36899"
"Crops and livestock products","Myanmar","Yield","Rice","2006","hg/ha","37694"
"Crops and livestock products","Myanmar","Yield","Rice","2007","hg/ha","38639"
"Crops and livestock products","Myanmar","Yield","Rice","2008","hg/ha","39688"
"Crops and livestock products","Myanmar","Yield","Rice","2009","hg/ha","39917"
"Crops and livestock products","Myanmar","Yield","Rice","2010","hg/ha","40026"
"Crops and livestock products","Myanmar","Yield","Rice","2011","hg/ha","37733"
"Crops and livestock products","Myanmar","Yield","Rice","2012","hg/ha","37512"
"Crops and livestock products","Myanmar","Yield","Rice","2013","hg/ha","37930"
"Crops and livestock products","Myanmar","Yield","Rice","2014","hg/ha","38464"
"Crops and livestock products","Myanmar","Yield","Rice","2015","hg/ha","38718"
"Crops and livestock products","Myanmar","Yield","Rice","2016","hg/ha","38181"
"Crops and livestock products","Myanmar","Yield","Rice","2017","hg/ha","38218"
"Crops and livestock products","Myanmar","Yield","Rice","2018","hg/ha","38568"
"Crops and livestock products","Myanmar","Yield","Rice","2019","hg/ha","37957"
"Crops and livestock products","Myanmar","Yield","Rice","2020","hg/ha","38043"
"Crops and livestock products","Myanmar","Yield","Rice","2021","hg/ha","38108"
